document,quotation,codes,comment
0239 [M] Master of Science in Business Analytics.docx,"
You'll also gain skills in advanced technical, quantitative, and qualitative analytics techniques in the business analytics program, which includes areas such as:

Accounting

Marketing

IT Infrastructure

Advanced Data Mining Applications

Enterprise Data and Information Management
",Interdisciplinary,
0239 [M] Master of Science in Business Analytics.docx,"
The online Master's in Business Analytics Degree will help you develop and refine a unique blend of skills that are needed to advance your career in the growing and fast-paced industry of data analysis. These skills include the ability to use predictive analysis to make smart business decisions, an understanding of information technologies and systems, and mastery of statistical and quantitative techniques. Graduates will be able to do the following:

Analyze the applications of business analytics in real-world business situations

Evaluate and design key information systems to support business analytics applications

Implement the primary statistical, quantitative and business analytics tools and techniques to support business decision-making
",Impact,
0239 [M] Master of Science in Business Analytics.docx,"
Major Requirements (36 credit hours)
",Requirements,
0239 [M] Master of Science in Business Analytics.docx,"
Business Foundation Courses (15 credit hours)

MBA 500 Business Performance Management (3 Credits)

Students develop their knowledge of fundamental business functions and processes, including management of human capital, marketing, operations, and finance, applying this knowledge to realistic business problems in a variety of organizational settings. These business problems address ethical, economic, social, and other environmental factors that impact the creation of value for customers, markets, and society, both domestically and globally. Emphasis is placed on developing effective strategic decision making and communication skills. MBA 500 Prerequisite: Graduate standing

MBA 520 Financial Reporting & Analysis (3 Credits)

Emphasis is placed on understanding reported financial information used to assess a company’s current performance, future risks, and business opportunities. Students develop skills necessary to understand the performance impact on financial statements and how economic events such as operating activities, corporate investments, and financing transactions affect the three main financial statements - the income statement, balance sheet, and statement of cash flows. Cross-listed with MSF 520 MBA 520 Prerequisite: Graduate standing

MBA 615 Human Capital & Organizational Performance (3 Credits)

This course focuses on the human and structural aspects of organizational management at the individual, group, and organization levels. Students assess, evaluate and apply evidence-based management practices and theory that can lead to tangible organizational performance outcomes, such as increased job satisfaction and organizational commitment, increased revenue and profits, improved motivation and conflict resolution techniques, greater work-life balance, and enhanced leadership effectiveness. Prerequisite: MBA 500

MBA 624 Business Analysis for Decision Making (3 Credits)

The use of quantitative and qualitative descriptive analysis tools to support informed decision making serves as the focus of this course. Techniques addressed include tabular and graphical displays of data such as the bar chart and histogram, and numerical measures such as the mean and standard deviation, and linear regression. Opportunity is provided to critically evaluate actual business scenarios applying critical thinking and problem solving strategies. Prerequisite: Cross-listed with MSF 624 MBA 624 Prerequisite: MBA 500 and MBA 520
",Courses,
0239 [M] Master of Science in Business Analytics.docx,"
MBA 635 Marketing & New Media Strategy (3 Credits)

Students integrate classical marketing theory with innovative marketing techniques and tactics to support a firm’s overall marketing and business strategies. Students will learn how to assess, select and integrate digital technologies, analytical approaches, and social media in concert with a firm’s overall marketing strategy. Prerequisite: MBA 500

Information Systems Foundation Courses (9 credit hours)


",Courses,
0239 [M] Master of Science in Business Analytics.docx,"
Choose 3 courses (9 credit hours) from the following list:
",Requirements,
0239 [M] Master of Science in Business Analytics.docx,"
CIS 520 Survey of System Development (3 Credits)

This course introduces the concepts for information systems analysis and design with an emphasis on structured development combined with an introduction to object-oriented analysis and design principles.

CIS 525 Business System Programming (3 Credits)

This course builds upon an introductory programming class. Students will be immersed in language syntax and the interactive PC environment. Emphasis will be on solving problems by deriving and implementing appropriate algorithms using object oriented concepts. Students will accomplish a programming project that will apply the concepts covered in the course. Prerequisite: CIS 243

CIS 515 IT Infrastructure (3 Credits)

This course focuses on the fundamentals of telecommunications including data, voice, image, and video formats. Coverage includes the concepts, models, architectures, protocols, standards, and security for the design, implementation, and management of digital networks. Emphasis is on the IT infrastructure to serve organizational needs in a rapidly changing competitive and technological environment.

CIS 608 Information Security Management (3 Credits)

This course addresses the issues relating to successful information security management. Topics include access control systems, network and software security, management practices, risk management, protection mechanisms, business continuity planning, and legal and ethical issues. The course allows for analysis of current security management models.

CIS 629 Managing Emerging Technologies (3 Credits)

This course provides an exploration of emerging information technologies, including how to define them, how they evolve, their role in the technology life cycle, and their potential economic, social, and cultural relationships. Topics covered include disruptive technologies, successes and failures of past emerging technologies, and integrating emerging technologies into a sustaining technology system.

CIS 633 Information Technology Project Management (3 Credits)

This course addresses the complex and unique issues related to effectively managing projects in an Information Technology context. Emphasis is placed on the knowledge areas specified by the Project Management Institute (PMI) in A Guide to the Project Management Body of Knowledge (PMBOK® Guide). Team-based and discovery-based learning methods are stressed. Development projects reflect actual problems provided by industry. A formal software project management plan detailing the process groups of initiating, planning, executing, controlling, and closing will be developed.

CIS 519 IT Strategy and Policy (3 Credits)

This course provides an introduction to the strategic use of information technology from a business perspective at the enterprise level. Emphasis is placed on the internal management of information systems services from the point of view of the Chief Information Officer. Alternative strategies and tactics available to management to achieve business goals are examined.

Business Analytics Courses(12 credit hours)

BAN 500 SAS Programming for Business Analytics (3 Credits)

This course is designed to provide a foundation of SAS analytics programming concepts and environments. It provides the tools necessary to write SAS programs to perform data management, analysis, and reporting. Topics include creating and documenting data sets, managing and reshaping data, writing reports, computing statistics on data set variables, and performing effective SAS programming. Hands-on exercises designed to facilitate understanding of all the topics are included. The course also provides the basis for more advanced work in data analytics and advanced programming techniques for data management. This course aligns with the SAS Base Programming certification concepts offered through the SAS Institute, Inc. Prerequisite: MA 215 or equivalent

BAN 520 Enterprise Data and Information Management (3 Credits)

This course offers an in-depth exploration of all the major topics in the field of data and information management from an applied perspective with an emphasis on data warehouses. The course is designed to provide not only a strong theoretical foundation, but also the technical skills required in analyzing, designing, implementing, managing, and utilizing information repositories. Topics covered include relational database model, data modeling, logical and physical database design, structured query language (SQL) implementation, procedures and triggers, data integration and quality, data warehouses and other relevant techniques for addressing big data issues in organizations today. The strategic roles that data and information play in business operations, customer relationship management, business decision-making, and strategy development are also discussed.

BAN 600 Advanced Business Analytics (3 Credits)

This course provides an analytical toolset to address modern, data-intensive business problems. To be effective in a competitive business environment, a business analytics professional needs to be able to use analytical tools to translate information into decisions and to convert information about past performance into reliable forecasts. Using a case-based approach, the course provides an overview of the key concepts, applications, processes and techniques relevant to business analytics. The course makes use of the leading software products to illustrate the use of business analytics methodologies to enhance business decision-making. Prerequisite: None

BAN 620 Advanced Data Mining Applications (3 Credits)

As business organizations collect more and more data as a byproduct of their operations, decision-makers are beginning to proactively and systematically analyze these data to improve decision quality. This course focuses on topics relevant to data mining, which is the process that uses a variety of data analysis tools to discover patterns and relationships in data that may be used to make proactive, knowledge-driven decisions. The course provides an in-depth discussion on various techniques of data mining including predictive modeling, pattern recognition, prescriptive analytics, and text mining. Both the theoretical and practical aspects of data mining are discussed in this course. Prerequisite: BAN 600.

Students applying for professional license or certification should verify the University’s offerings meet the requirements with the professional organization.
",Courses,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
Creighton’s MBA/MS-BIA program allows students to combine the business focus of the MBA with the technology management thrust of the MS-BIA degree
",Mission,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
In this dual degree program, you’ll earn two degrees in considerably less time than it would take you to earn them separately. With both degrees, you’ll gain an impressive collection of managerial and technological competencies.
",Impact,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
Human factors in information systems

Marketing management

Leadership skills

Critical thinking skills

Problem-solving skills


",Skills,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
Creighton’s business intelligence and analytics (formerly called management information systems – MIS) graduates are generally employed in career tracks leading toward positions in data/systems analysis and design, interactive media, business application development, database administration, Web specialist, network administration and consulting. Increased technology usage in business has caused an explosion in job opportunities for graduates. The U.S. Department of Labor consistently lists information technology jobs among the top 5 fastest growing fields.


",Broader impact,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
Graduates in business intelligence and analytics find professional career opportunities in a wide variety of areas. Recent Creighton BIA graduates have interned and are employed in the following positions, in addition to gaining acceptance into some of the most prestigious graduate and professional schools in the nation.


",Impact,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
The median starting salary for a 2015 Creighton graduate in business intelligence and analytics was $84,500.
",Impact,
0241 [M] Master of Science in Business Intelligence and Analytics.docx,"
Requirements
",Requirements,"this may have been cut off, it seems like there was supposed to be requirements "
0242 [M] Master of Science in Analytics.docx,"
This program will prepare you to:

Manage data from a number of sources

Use analytical tools to gain insights from data

Effectively model and communicate findings to key stakeholders and decision-makers
",Skills,
0242 [M] Master of Science in Analytics.docx,"
You’ll gain practical knowledge in predictive and prescriptive analytics, data visualization and modeling, machine learning, database management, research and more. You’ll learn how to analyze data, solve complex problems, and drive decision-making processes.
",Skills,
0242 [M] Master of Science in Analytics.docx,"
What You'll Learn

Exhibit disciplinary knowledge in analytics

Develop visualizations of data

Create relational databases

Evaluate a variety of analytics tools and techniques

Analyze data with appropriate modeling techniques to support fact-based decision-making

Think critically to aid decision-making

Apply problem-solving skills in diagnosing and addressing business challenges

Communicate professionally

Effectively communicate analytical conclusions in a visual format

Articulate assumptions, analyses and interpretations of data in an oral format

Commit to action that demonstrates care for others

Analyze a business ethics situation and propose a course of action

Demonstrate knowledge of strategies to work effectively with others on diverse project teams

Exhibit personal habits consistent with leadership formation

Reflect on and articulate the relationships among personal values, professional obligations, and social responsibilities
",Skills,
0242 [M] Master of Science in Analytics.docx,"
Commit to action that demonstrates care for others

Analyze a business ethics situation and propose a course of action
",Ethical issues,
0242 [M] Master of Science in Analytics.docx,"
To earn a Master of Science in Analytics at Creighton University, you must complete 33 credit hours:

Mathematics for Data Analytics

Statistics for Data Analytics

Research Design and Methodology

Predictive Analytics

Applications of Optimization Modeling

Survey of Business Intelligence and Analytics*

Data Visual Analysis Visualization

Machine Learning*

Database Management Systems

Data Warehousing and Advanced Database Systems

Business Ethics and Society*
",Courses,
0242 [M] Master of Science in Analytics.docx,"
Business Ethics and Society*
",Ethical issues,"But see ""Students may substitute courses starred in the above list with coursework in Business or Marketing."""
0243 [C] Business Analytics Graduate Certificate.docx,"
 The courses, offered online, will prepare business leaders to solve specific business problems by analyzing big data.
",Mission,
0243 [C] Business Analytics Graduate Certificate.docx,"
“The business analytics program is ideal for business professionals who want to be able to make better business decisions based on understanding the data available to them,” 
",Target group,
0243 [C] Business Analytics Graduate Certificate.docx,"
“Students in the certificate program will have a definite competitive edge.”
",Impact,
0243 [C] Business Analytics Graduate Certificate.docx,"
Students completing the Business Analytics certificate program will develop their critical thinking skills and learn how to analyze data in order to develop solutions to specific business problems and improve future performance
",Skills,
0243 [C] Business Analytics Graduate Certificate.docx,"
The critical skills taught in this program have broad appeal for employers and provide an edge in today’s competitive job market. The methods and tools introduced in the business analytics coursework are applicable in any industry for which interpreting and applying data are critical skills.
",Impact,
0243 [C] Business Analytics Graduate Certificate.docx,"
GRBA 851 is required as the first course in the certificate program. This course provides an introduction to the three main areas of business analytics: descriptive, predictive and prescriptive methods. Upon completion of GRBA 851, the other three courses, two of which are required and one of which can be chosen from the list of approved electives, may be taken in any sequence.
",Requirements,
0243 [C] Business Analytics Graduate Certificate.docx,"
Three Required Courses:

GRBA 851: Business Analytics

This course provides a broad overview of important business analytic topics and how they can be used to support decision-making in all areas of business, government, education, and agriculture. Emphasis will be placed on the procedures that are used to describe data, make predictions and recommend actions to improve performance.

ECON 817: Introductory Econometrics

This course is designed to provide necessary background in statistical methods. The course offers an overview of key statistical concepts and techniques, while incorporating hands-on data analysis. Hypothesis formulation and testing, economic prediction and problems in analyzing cross-section and time series data are considered.

MRKT 850: Data Driven Marketing Strategy

This course considers the strategic use of large marketing databases, including how market data can be translated into insights for decisions like pricing, advertising response, resource allocation, and new product development. Topics covered include market response models, clustering and classification, conjoint analysis, resource allocation models, forecasting, customer profitability analysis, customer choice modeling, value pricing, product line decisions and other strategic marketing issues facing today's managers.

Select one elective from the following courses:

MRKT 845: Advanced Marketing Analytics

This course provides an overview of web, social media, and consumer text analytics; analyzing consumer data streams from the Internet, mobile devices, and sensors; handling very large volumes of data; general data analysis software operation for various marketing problems; marketing platform software for general and specific tasks; and learning machines in marketing.

SCMA 837: Risk and Simulation Modeling

Simulation is the process of building a computer model of a system and experimenting with the model to obtain insight into the system’s behavior. This course considers the simulation of business systems that are subject to uncertainty and risk. Students will learn the entire process of designing a simulation model, implementing it in software, executing the simulation, collecting output data, and using the results to evaluate decision options.

SCMA 851: Predictive Analytics

Predictive analytics extends statistical and/or artificial intelligence methods to provide forecasting capability. In today’s environment, it involves applying knowledge management to analyze large quantities of data. Students will be exposed to the analytic methods and statistical programming languages, such as R, that are commonly used for predictive analytics in business.

SCMA 852: Data Management and Organization

The use of information technology and statistical analysis continues to grow in all sectors of the economy. Along with that growth comes a need for individuals with advanced training in the technology of databases. In this course, databases are studied from the perspective of their logical organization and physical design, as well as from the perspective of managers and applications programmers. The database querying language SQL will be introduced and practical applications of databases will be considered.

SCMA 853: Business Data Mining and Descriptive Analytics

Data mining applies quantitative analysis to support humans in identifying actionable information from large amounts of data. This course focuses on how data mining has been successfully applied in business. It will describe the statistical and artificial intelligence-based tools commonly used in data mining. The course will also address ethical issues related to the use of information obtained through data mining.

SCMA 854: Advanced Descriptive Analytics

Descriptive analytics focuses on descriptions and reports of what has happened. This course seeks to provide explanations and demonstrations of advanced descriptive analytics tools such as cluster analysis, text mining and link analysis. The course will expose students to the concepts of Big Data and Internet of Things. Students will learn how to use descriptive analytics and relevant software packages to solve business problems.

SRAM 816: Principles of Survey Analysis

This course provides an introduction to the basic principles of causality and inductive logic in contemporary social and behavioral science. Topics include one, two, and multi-way layouts in analysis of variance; fixed effects models and linear regression in several variables; the Gauss-Markov-Theorem; multiple regression analysis; and basic principles of experimental and quasi-experimental designs.

SRAM 819: Applied Sampling

This course considers the design of probability samples, issues related to sampling populations of humans, and the unique challenges posed by such populations, restricted by cost and available sampling frames. Topics incluse simple random sampling, stratification, cluster sampling, systematic sampling, multistage sampling, probability proportional to size sampling, area probability sampling, and telephone samples.

SRAM 865: Survey Analysis and Design

This course considers the basic issues related to the design and analysis of sample surveys. Topics include the basics of questionnaire construction, sampling, data collection, analysis and data presentation.
",Courses,
0246 [M] Master of Science in Data Analytics.docx,"
Foundation Courses

0Total Credits

Complete:

- Data and Information Management (3)

- Foundations in Statistics (3)

Major Courses

36Total Credits

Complete all of the following

Complete:

- Foundations of Data (3)

- Enterprise Data Management (3)

- Decision Methods and Modeling (3)

- Presentation and Visualization of Data (3)

- Optimization and Risk Assessment (3)

- Predictive Analytics (3)

- Advanced Data Analytics (3)

- Capstone in Data Analytics (3)

- Project Management (3)

9 credit(s) from subject(s): IT, or QSO within the range of course numbers 500 - 799, excluding:

- Information Technology (3)

- Core Technologies (3)

Grand Total Credits: 36
",Courses,
0246 [M] Master of Science in Data Analytics.docx,"
Conduct thorough needs assessments using statistical, analytical, and applied research techniques and consult organizational stakeholders on business requirements to offer logical and effective recommendations for data analytics initiatives

Design and implement advanced modeling techniques, such as predictive modeling, risk-assessment and optimization, and analytics algorithms using structured and unstructured data to provide new solutions to complex organizational issues

Communicate with professionalism, accuracy, and transparency using interactive and dynamic visualization tools to translate technical information and offer effective solutions to organizational stakeholders

Apply effective collaborative and essential project management strategies to facilitate and improve the work of diverse and multi-functional teams, streamline processes, and lead projects to successful outputs

Protect the integrity and privacy of data, organizations, and consumers through advanced technology solutions and ethical and legal practices in all aspects of the profession

Employ applied, contextual knowledge of an organizations industry to target new data opportunities that improve an organizations competitiveness, effectiveness, and longevity

Adapt and implement innovative methods, models, and technologies that allow for adaptability to new and unexpected changes and improve the agility of data analytics projects

Position data analytics as a competitive advantage to organizations by accurately communicating the cost and benefits of data analytics projects and technologies as well as the long-term benefits of data-driven decision making
","Impact, Skills",
0246 [M] Master of Science in Data Analytics.docx,"
Protect the integrity and privacy of data, organizations, and consumers through advanced technology solutions and ethical and legal practices in all aspects of the profession
","Ethical issues, Law-policy",
0246 [M] Master of Science in Data Analytics.docx,"
Students in the program are engaged in advanced technologies for data mining, visualization, modeling, and optimization while understanding the requirements and needs of the organizational environment through business research and in-depth analysis. 
",Skills,
0246 [M] Master of Science in Data Analytics.docx,"
The ethical uses of data and ensuring appropriate security measures for data collection and storage are a key feature of the program and students will engage in advanced techniques for protecting the integrity and privacy of data, organizations, and consumers.
",Ethical issues,
0235 [M] M.S. in Mathematics with Concentration in Applied Statistics.docx,"
STAT 5123 Applied Statistics I (3)

STAT 5124 Applied Statistics II (3)

STAT 5126 Theory of Statistics I (3)

STAT 5127 Theory of Statistics II (3)

STAT 7027 Topics in Statistics (3)

STAT 7127 Linear Statistical Models (3)

STAT 7133 Multivariate Analysis (3)

Electives (9 hours)

Two courses selected from an approved list of MATH/STAT or applied courses. Examples include:

STAT 7027 Topics in Statistics (3)

MATH 5128 Applied Probability I (3)

MATH 5129 Applied Probability II (3)

MATH 5143 Analysis I (3)

MATH 5165 Numerical Linear Algebra (3)

MATH 7120 Probability Theory I (3)

MATH 7121 Probability Theory II (3)

MATH 7143 Real Analysis I (3)

MATH 7692 Research Seminar (3)

Any MATH or STAT course at the 7000-level
",,
0235 [M] M.S. in Mathematics with Concentration in Applied Statistics.docx,"
provide advanced skills and knowledge in the planning, design, testing, and implementation of statistical methods. Skills are developed to deal with problems encountered in statistical applications in business, industry, and government; to hold administrative positions requiring planning and implementation of statistical analysis; to teach statistics at the undergraduate or community college level; and to potentially study statistics leading to the Ph.D. degree.
","Skills, Impact, Jobs",
0235 [M] M.S. in Mathematics with Concentration in Applied Statistics.docx,"
Core Requirements (21 hours)

STAT 5123 Applied Statistics I (3)

STAT 5124 Applied Statistics II (3)

STAT 5126 Theory of Statistics I (3)

STAT 5127 Theory of Statistics II (3)

STAT 7027 Topics in Statistics (3)

STAT 7127 Linear Statistical Models (3)

STAT 7133 Multivariate Analysis (3)

Electives (9 hours)

Two courses selected from an approved list of MATH/STAT or applied courses. Examples include:

STAT 7027 Topics in Statistics (3)

MATH 5128 Applied Probability I (3)

MATH 5129 Applied Probability II (3)

MATH 5143 Analysis I (3)

MATH 5165 Numerical Linear Algebra (3)

MATH 7120 Probability Theory I (3)

MATH 7121 Probability Theory II (3)

MATH 7143 Real Analysis I (3)

MATH 7692 Research Seminar (3)

Any MATH or STAT course at the 7000-level
",Courses,
0217 [B] Retail Marketing Analytics.docx,"
be aware that a maximum of twenty students who are either majors or minors in Marketing Analytics are accepted into the program annually in February.
",Requirements,
0217 [B] Retail Marketing Analytics.docx,"
As a MAP student, you'll have the opportunity to build a strong foundation of statistical analysis know-how and to directly apply advanced marketing techniques to real-world situations utilizing a supporting network of retail, consumer products, and data suppliers. 
","Impact, Mission",
0217 [B] Retail Marketing Analytics.docx,"
You will develop the skills necessary to make strategic merchandising and marketing decisions.
",Skills,
0217 [B] Retail Marketing Analytics.docx,"
Specialized coursework designed and supported by faculty from the Marketing, Management Information Science, and Economics departments
",Interdisciplinary,
0217 [B] Retail Marketing Analytics.docx,"
Use of the Marketing Analytics Lab (Rm 119) to experiment with datasets and sophisticated software tools
",Tools,
0217 [B] Retail Marketing Analytics.docx,"
Active learning opportunities including analytic projects with retailers and consumer products companies which allow students to apply knowledge and skills gained in the classroom to real-world business problems

An internship program in which each MAP student completes at least a 100 hours of analytic work with an organization of interest
",Interdisciplinary,
0217 [B] Retail Marketing Analytics.docx,"
Use sophisticated software tools to manage, summarize and analyze consumer and transaction data,

Identify insights into consumer needs, sales trends or business opportunities from data,

Communicate insights and recommendations confidently in written and oral formats, and

Integrate knowledge from other business disciplines to develop feasible business and marketing recommendations
",Skills,
0217 [B] Retail Marketing Analytics.docx,"
LSBE Lower Division Courses: 60 credits

LSBE Upper Division Core Business Courses: 21 credits

Marketing Analytics Major or Minor: 21 credits

Supporting Upper Division Courses: 18 credits

Marketing Analytics Courses – All Courses are required for Major & Minor

Group A (6 cr)

MKTG 3711: Marketing Research

MKTG 4711: Consumer Behavior

Group B (9 cr)

MKTG 3761: Marketing Analytics I, Marketing Analytics Fundamentals (3 credits)

MKTG 4762: Marketing Analytics II, Advanced Analytic Techniques (3 credits)

MKTG 4763: Marketing Analytics Practicum (2 credits)

MKTG 3767: Marketing Analytics Internship (1 credit)

Group C (6 cr)

FMIS 3220: Database Management and Design

ECON 4040: Tools: Applications of Economic Analysis

Or equivalent course from the Math/Stat or Psych Departments.
",Courses,
0212 [C] Business Intelligence Specialization Post-Baccalaureate Certificate.docx,"
Capella University's online business administration graduate certificate gives you a flexible way to deepen your knowledge of leadership principles, and gain insights into business communication, critical thinking, and problem solving.
","Mission, Impact",
0212 [C] Business Intelligence Specialization Post-Baccalaureate Certificate.docx,"
 You'll learn the relevant skills you need to advance your career and achieve your goals.
",Impact,
0212 [C] Business Intelligence Specialization Post-Baccalaureate Certificate.docx,"
Gain a deeper understanding of business systems, processes, operations, and technology within and across core disciplines.
",Skills,
0212 [C] Business Intelligence Specialization Post-Baccalaureate Certificate.docx,"
Embrace Collaboration

Find ways to integrate information across disciplines and from differing perspectives within an organization.

Make Evidence-Based Decisions

Think critically and analytically to provide evidence-based solutions to business challenges and opportunities.

Lead With Insight

Apply innovative, strategic, and sustainable approaches to the way you lead in your organization.

Harness The Power of Diversity

Embrace new ways to lead and collaborate in virtual, global, and culturally diverse environments.

Communicate Effectively

Communicate clearly and effectively with colleagues, business leaders, and stakeholders.


",Skills,
0249 [B] Data Analytics.docx,"
Requirements

General Education

42Total Credits

42 credit(s) from:General Education

Must include:
",Requirements,
0249 [B] Data Analytics.docx,"
- Introduction to Quantitative Analysis (3)

- Precalculus (3)

- Applied Statistics for Science, Technology, Engineering, and Mathematics (STEM) (3)
",Courses,
0249 [B] Data Analytics.docx,"
Core Courses

12Total Credits

Complete all of the following

Complete:
",Requirements,
0249 [B] Data Analytics.docx,"
- Introduction to Scripting (3)

- Calculus I: Single-Variable Calculus (3)

- Applied Statistics II: Regression Analysis (3)

1 of the following:

- Introduction to Statistical Analysis System (3)

- Introduction to Structured Query Language (3)

- Oracle SQL Fundamentals (3
",Courses,
0249 [B] Data Analytics.docx,"
Major Courses

30Total Credits

Complete:
",Requirements,
0249 [B] Data Analytics.docx,"
- Foundation of Data Analytics (3)

- Fundamentals of Data Mining (3)

- Data Analytics I (3)

- Data Analytics II (3)

- Decision Support Presentation (3)

- Capstone in Data Analytics (3)

- Introduction to Data and Information Management (3)

- Database Design (3)

- Project Management in Information Technology (3)

- Management Science through Spreadsheets (3)


",Courses,
0249 [B] Data Analytics.docx,"
Electives

9Total Credits

9 credit(s) from:
",Requirements,
0249 [B] Data Analytics.docx,"
 Business Law I (3)

- Public Relations (3)

- Social Media (3)

Subject(s): DAD, IT, DAT, or QSO within the range of course numbers 200-499
",Courses,
0249 [B] Data Analytics.docx,"
Free Electives

27Total Credits

27 credit(s).

Grand Total Credits: 120
",Requirements,
0249 [B] Data Analytics.docx,"
Integrate appropriate tools and technology in the development of analytical algorithms and models that meet various business and industry requirements

Employ accurate and detailed analysis throughout the life cycle of data analytics initiatives to ensure the integrity and validity of reports

Evaluate requirements and specifications of business problems to recommend possible solutions provided by data analytics initiatives

Apply appropriate data warehousing and database management solutions to meet the security, quality, storage, and privacy needs of organizations

Apply quantitative techniques, including probability, statistics, optimization, and simulation to deploy appropriate models for prediction and analysis

Collaborate on multi-functional teams throughout the life cycle of data analytics initiatives to improve the quality and input of projects

Protect the integrity and privacy of data, organizations, and consumers through technology solutions and ethical practices in all aspects of the profession

Design and deliver presentations, reports, and recommendations that effectively translate technical results and are coherent and persuasive to a variety of stakeholders internal and external to an organization
","Skills, Impact",
0249 [B] Data Analytics.docx,"
The Bachelor of Science program in Data Analytics provides students with the technical abilities, business expertise, and practical, applied skills to help organizations in a variety of industries leverage data analytics to innovate practices, products, and processes.
",Mission,
0249 [B] Data Analytics.docx,"
Students are exposed to the entire lifecycle of data analytics initiatives from consulting stakeholders on data opportunities to delivering accurate, persuasive presentations of recommendations. Emphasis is placed on practical, contextual strategies by exploring various cases relevant to many industries, such as health care, marketing, operational management, information technology, financial management, and government. Students also develop an ethical perspective on crucial privacy and security issues related to data collection, storage, and analysis.
",Impact,
0247 [M] MS in Information Technology - Healthcare Informatics.docx,"
Develop innovative and agile, computer-based solutions to business problems through a systems analysis approach and technology integration and application

Design a plan for implementing and monitoring solutions that incorporate core information technologies, concepts and methods appropriate for secure information use across an enterprise

Collaborate and communicate effectively in a variety of environments through situational awareness and audience analysis

Develop an implementation plan for systematic information risk assessment for change management plans and processes within enterprise business and information technology environments

Using computational logic and critical analysis, construct ethically sound, technology-informed procedures to ensure legal compliance and maintain security within enterprise information technology environments
",Impact,
0247 [M] MS in Information Technology - Healthcare Informatics.docx,"
Requirements

Foundation Courses

0Total Credits

Complete:

- Core Technologies (3)

Major Courses

27Total Credits

Complete:
",[??],
0247 [M] MS in Information Technology - Healthcare Informatics.docx,"
Advanced Information Technology (3)

- Object Oriented Application Development (3)

- Innovations in Information Technology (3)

- Technical Communication (3)

- Operating Systems (3)

- Information Technology Project and Team Management (3)

- Telecommunications and Networking (3)

- Principles of Database Design (3)

- Capstone in Information Technology (3)


",Courses,
0247 [M] MS in Information Technology - Healthcare Informatics.docx,"
9Total Credits

9 credit(s) from subject(s): DAT, IT, or ISE within the range of course numbers 500 - 899, excluding:
",Requirements,
0247 [M] MS in Information Technology - Healthcare Informatics.docx,"
- Data and Information Management (3)

- Information Technology (3)

- Core Technologies (3)


",Courses,
0247 [M] MS in Information Technology - Healthcare Informatics.docx,"
 Healthcare Informatics (3)

- Social & Organizational Issues in Healthcare (3)

- Management of Information Technology (3)
",Courses,
0250 [M] MS in Applied Statistics.docx,"
The Master’s in Applied Statistics is a program of NJIT’s Department of Mathematical Sciences, which is nationally recognized for high-quality education and its applied research programs. Active participation in the MS program by more than 40 NJIT mathematical sciences faculty produces a stimulating learning environment. The department’s 20 active research projects have more than $1 million in funding from public and private sources, including NSF, NIH, NASA, the US Department of Energy, the Air Force Office of Science and Research, and Novartis. Many of the program faculty have earned international reputations as a result of the breadth and depth of their accomplishments.
",Fluff,
0250 [M] MS in Applied Statistics.docx,"
The program is well suited for students with a baccalaureate degree who are planning to pursue a statistics-oriented career in the pharmaceutical or other industries and in commercial enterprises where basic statistical skills and knowledge of contemporary methods of data analysis and modeling are required
",Target group,
0250 [M] MS in Applied Statistics.docx,"
It will also benefit practicing engineers and high technology workers who are seeking to advance their knowledge of statistical methods
",Target group,
0250 [M] MS in Applied Statistics.docx,"
The MS in Applied Statistics consists of seven core (required) courses and three elective courses, for a total of 30 credits.
",Requirements,
0250 [M] MS in Applied Statistics.docx,"
CORE COURSES (21 CREDIT HOURS)



Math 611



or



Math 630



Math 661



or



Math 663



Math 644 Math 662 Math 664 Math 665 Math 699





Numerical Methods



Linear Algebra and its Application Applied Statistics



Introduction to Biostatistics



Regression Analysis Methods Probability Distributions Methods for Statistical Consulting Statistical Inference



Design and Analysis of Experiments
",Courses,Needs to be reformatted
0251 [C] Graduate Certificate in Data Mining.docx,"
This graduate certificate provides an introduction to data mining with an emphasis on large-scale databases as a source of knowledge generation and competitive advantage.
","Mission, Impact",
0251 [C] Graduate Certificate in Data Mining.docx,"
The fundamentals of relational database technology, concurrency, and recovery

Methods of database design and conceptual modeling

The principles of information-retrieval system design

Techniques essential for building text databases, document-processing systems, office automation systems, and other advanced information management systems


",Skills,
